"ContractType","PaymentMethod","Autopay","ServiceType","MonthlyCharges","DateOfServiceStart","ServiceCalls","DataUsagePerMonth","CustomerAge","Churn","F1","F2","F3","F4","F5","F6","F7","F8","F9","F10","F11","F12","F13","F14","F15","F16","F17","F18","F19","F20"
"Monthly","Credit Card","No","Fiber Optic",66.94,2011-08-26,4,244.95,18,"No","-0.3899224239664","0.480638302041708","0.277728795545119","0.041506836009738","-0.118070982760644","0.556575240953795","0.251065115766735","0.545143751795303","","0.781910565695909","-0.137365555661537","0.13435039387191","0.0563041262916153","-0.129625559195227","0.227272469394853","0.570100755798042","0.381776295670679","0.250418068173437","0.569348158390696",""
"1-Year","Bank Transfer","Yes","DSL1",38.03,2019-10-05,0,183.65,41,"No","-1.56021137070317","-1.32980918199606","-1.33456129144856","-1.12228385711229","-1.86839010958909","-1.43315874462379","-1.44205397073827","-1.26287077065051","-1.47710394255323","-1.3407477431899","-2.0062612559134","-1.13726303068411","-1.48812393374686","-1.70756637370802","-2.05613219327274","-1.50369370857615","-0.914620850022115","-1.51250668375625","-1.27206647792999","-1.88702275148046"
"Monthly","Credit Card","Yes","Fiber Optic",84.21,2014-07-29,4,181.32,43,"No","0.0906868374260564","-0.31636400709422","-0.0820037159393534","0.0489631914541252","-0.228050430579813","-0.25109527733268","-0.273829789062286","-0.413165225317638","","-0.397586807018831","-0.340812372502553","","-0.404010167102376","0.0416343068460056","-0.179818054370964","","","0.028642807064836","-0.347521492509221","0.118088231327448"
"2-Year","Bank Transfer","Yes","Other",62.14,2017-01-20,3,196.87,40,"No","1.21512752816231","","1.05368409055749","1.1009958936518","1.31625894210184","0.940560143982586","1.08915728179665","1.59190515078803","1.30226221530201","0.98187965951088","1.28467032115531","0.987462414852592","1.08034995393453","1.09216885590988","1.49641469938384","1.6372567689637","0.642712414789159","1.08729120691547","1.0763006068234","1.23730478841685"
"Monthly","Check","No","Fiber Optic",70.02,2012-06-22,2,154.33,54,"Yes","0.75276437748435","0.91624613449815","1.08451598753733","","-0.0737927903705948","0.983336025131423","0.672734956855049","0.478893459409316","0.376454463485538","0.971365357054007","0.191010320291873","0.586957192675626","0.710786853314169","0.382608133325226","0.599692522539402","0.778620390548914","0.441491132290269","0.8094777901088","1.09117660076445","0.543060587640262"
"Monthly","Credit Card","Yes","Other",47.63,2010-04-08,5,208.84,41,"No","0.707286357750964","","0.631116819126204","0.468500906943285","0.440221814760034","0.522601523987705","0.448987102322889","0.241618321499367","0.144188288280185","0.29585102890341","0.498638401550622","-0.0297624965591367","0.292452141420813","0.802141253335283","0.497534670906098","0.723140066723679","0.948427498203435","0.152492563389785","0.152173002599304","0.377294993460916"
"2-Year","Check","No","Other",100.32,2017-12-31,1,178.55,28,"No","-0.753846545890373","-0.906049206837267","-0.729938449564771","-1.59779254981906","-0.978090464114976","-1.24487075225489","","-0.969284759968004","-1.35165374176425","-1.2026579266207","-1.25030272603139","-0.890957234767077","-1.04202994393635","-0.857208526868335","-1.14110831270646","-1.38196024346632","-1.46641274480972","-1.11774587835785","-1.64920488266829","-1.39887743153453"
"1-Year","Check","No","Other",39.57,2019-05-29,1,269.7,42,"No","-0.42121797407354","-0.619857607231532","-0.166808743668908","-0.68401282420291","0.0956878371075876","-0.43305005796214","0.0160111045464744","0.0169623321413739","0.0483699258113821","-0.650078188284014","-0.578918146344139","","-0.760205557578325","-0.479698522612617","-0.367072562400678","-0.750671691223874","-0.242535524522642","-0.0320696488537854","-0.131594597440018","-0.316726942173311"
"1-Year","Check","No","Fiber Optic",99.14,2019-06-18,3,236.31,43,"No","","-0.579485759610747","-0.268011980431939","-0.131683594782865","-0.384803483525973","0.0908681319955884","-0.620570914620418","-0.436124918027033","-0.620895068996252","","-0.1955950445619","-0.68013082785071","0.0404639318827579","-0.612450319499021","-0.380610552610592","-0.587740748209036","-0.559226327736256","-0.172024423723192","","-0.259081806626504"
"Monthly","Credit Card","Yes","DSL3",63.9,2020-04-21,2,259.37,35,"No","0.218786521422113","-0.548179408437914","0.0470871472979552","-0.291108211766727","-0.107775323736638","0.351009591563925","-0.146046628249974","-0.183667556633075","-0.23029594428218","0.0919192684297135","0.282162941577016","-0.0050916339441843","-0.574571266801568","-0.333460247986568","0.667166642153842","-0.0106969980436479","-0.474823809816787","-0.491682197517543","-0.204453026890374","-0.162162150027421"
